,Unnamed: 0,session_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
31,31,00887cb12eb63,2282300,3183047,3554146,933451,911551,4572856,6365508,151827,6533954,80225,107368,1535855,4440056,907363,6340020,36453,3484880,1511181,1258671,391486,3501540,3136495,5081140,5746558,1592149
32,32,008b03d246996,2335344,364311,5757788,2597588,394486,1369278,2631225,1007597,1955545,818221,1257025,365886,8744500,3767060,1007633,9307244,1949345,1450983,5137782,6797192,370601,500261,7128186,8747110,1789849
33,33,008e6070a5f8f,3980526,880223,4646258,1311110,6914958,2244662,6703268,2454127,378941,2791021,4068142,4712516,1668619,5110384,4033276,104601,6546484,2273610,880225,3245201,104826,1397998,507876,429716,6790340
34,34,008e7e4405549,104802,5032060,104867,127102,104773,109319,722191,957851,104889,929707,109317,104888,104649,104704,5106602,109318,104957,105009,104505,682846,722201,104665,,,
35,35,009033d5c5ca8,2001793,106146,596236,5202702,103690,993429,2596898,2217294,103554,103600,103670,103700,508561,818501,1135898,1146871,2111996,2113096,2266812,6914122,8788590,1148728,5452024,1814295,103544
36,36,009248e1572fb,682871,3148426,962211,314051,5728568,2258650,493336,5969216,132244,503926,4657410,1858913,964699,3159681,5107034,493421,4018918,3133147,1945437,4226900,3246918,9624532,4464044,3133906,1054058
37,37,009386f89f345,13873,14870,18211,921879,54612,1321256,4411766,54535,54737,107205,54764,54604,39848,54600,54547,54704,84944,54607,54629,99656,54736,2306480,2877492,54773,39847
38,38,0097465866c4b,97917,97752,2152706,1330971,2396296,945921,980085,1232376,1259525,1353853,1472225,2218684,2311814,2382948,4976822,6968378,897971,5215204,98036,3116712,1593229,3499102,2145878,917003,852681
39,39,009ebd6cbda54,104802,5032060,104867,104773,5106602,106541,97610,104888,109320,1501317,104649,104665,722206,722196,1290343,957851,8987400,2301010,1618751,682846,722201,127102,106403,3160695,109319
40,40,00a337d8b1352,8549,8578,8582,8567,8599,32727,8614,2593971,567281,8572,8533,796756,58492,63477,102082,8589,8596,6723510,1094242,2282298,79042,8551,488501,8573,64376
41,41,00a624fc60f2c,104346,4763986,104358,153314,340236,104310,340206,340316,104338,6399968,2630618,4753108,11053142,9637794,4009026,8276106,,,,,,,,,
42,42,00adc5841f05f,40692,80888,1106392,1771045,1031142,40549,2588684,5767254,8242182,8766070,6449352,98998,7142652,40373,2554813,6292174,3225329,5646636,8105302,8122316,8748388,2910134,3209721,40243,99000
43,43,00adca203d1f2,81784,81457,85285,3172368,5150282,88710,2799586,88731,2568060,5195182,88718,88699,1272055,1272045,88754,1520423,88776,6429862,150902,10048720,2636724,962521,8180582,88720,4059674
44,44,00b151c1baedf,103260,520431,508816,2035477,2612464,2106494,1837827,1586353,5000660,1785687,4791208,8770080,2064654,5519792,4643800,2039637,1351848,1980987,6553362,1826373,3821788,2035537,5173868,2296728,4527034
45,45,00b44a94b8f26,924575,1033482,382121,8138610,9781296,1343674,6655632,9685970,818271,6299220,2831212,8801088,693551,7367398,912479,981343,9360220,1180278,818261,8135428,8746338,693566,2164520,917339,1033438
46,46,00b5eea6d5ed4,95993,927203,127277,2022745,1798951,,,,,,,,,,,,,,,,,,,,
47,47,00b92d05b69b8,1104862,2378244,7321800,5014494,7318382,2061642,7821830,3142254,614056,9626488,2296842,1403046,152213,4722296,2379476,8821834,104232,1236829,4597240,9162940,2578408,10764260,1979067,692441,9417342
48,48,00c3a00404250,23175,23189,23186,23194,1205274,4634156,1055860,23203,1513639,8339382,1045984,1976661,5723736,10498806,1825653,23180,1240089,23170,3845192,9506278,9991298,10011442,2630644,9346968,4452028
49,49,00c7de2e78cdb,4753184,128811,5864252,8132,3143196,1211618,8145,62292,1722489,62990,942435,8127,8128,128808,61976,8139,55496,3484270,8134,69085,360136,58720,70397,1014739,63473
50,50,00cac124a85d0,48125,12653,3218556,32788,12640,48064,12694,46576,47076,47717,47760,47812,48161,115888,1160364,1332171,1715765,2489180,46461,12715,13968,2051857,32726,1321090,12711
51,51,00cd9cc953707,20149,20141,20138,20189,1207562,20137,7019140,20145,9129490,20139,2632586,3365586,10641894,5120632,6537572,3804360,2198348,20174,2734182,20178,1028644,5107302,1942077,20160,8169012
52,52,00ce8dbd79e12,503486,45464,45672,45861,688721,1273317,7769748,102551,937265,345446,45148,2653566,85658,106353,1627697,557951,1715907,106918,150426,101216,2020443,5216286,45589,967697,45887
53,53,00d39531752b5,3491366,5119450,148663,2165252,92985,116549,93007,1474185,99187,93030,92887,104311,340311,399221,787641,340376,9170972,99197,104342,93037,99186,99189,5405758,99184,4777016
54,54,00d3ac3300e63,6027,6021,6017,2286068,51653,52196,52621,923037,6861626,339231,51159,6018,100464,13874,339351,4041788,53603,6507,52827,7842988,14989,15311,434666,13581,7033484
55,55,00d51055b6938,93452,1597241,5120510,9548426,,,,,,,,,,,,,,,,,,,,,
56,56,00d7c7c9ac1b4,15724,3156702,70071,77033,128735,70072,8366,997159,8363,972347,15727,67841,8380,68868,66186,73356,8765780,8378,1306379,8339566,151186,8367,79284,69742,56398
57,57,00e0d707bf734,1502489,161236,4072468,8387398,8535426,7281506,537353,1164318,483321,1071502,4169528,4585158,8188778,8427226,8901954,9609424,100504,1083494,40500,4849942,1326276,40050,100495,351701,897605
58,58,00e9688a114ca,716286,80963,6722430,40726,82252,7115,40225,40678,7119,1322144,1704623,946637,39949,1329962,1077858,2429948,883577,40757,1216794,81730,40479,100504,4440384,40214,149239
59,59,00e9e477a97c0,3166088,2061346,3242198,9927140,4919126,8354152,5518824,892859,7991692,8374474,6755448,11174702,4010552,7214730,6787380,2826592,9213468,6428860,6759314,5101538,5100598,9688438,9255556,6558404,9489490
60,60,00feb3938f231,2784325,496141,674016,2128208,4553004,1153426,1351828,8400372,1339848,519061,1482717,981929,521336,1135230,4605858,2892128,8113288,1029982,2099776,1339918,2201652,5111312,2761520,1837709,6703494
61,61,0107cea4bf4a9,80424,80436,13641,13775,14243,100668,80422,150011,1991043,1514005,150016,80365,80371,80377,80384,80457,149976,150020,927197,1487955,2116058,3136464,3533072,80477,13699
62,62,0108f79b410a8,43015,3823128,42960,6901690,5797032,5656280,8117154,5455978,42411,2099418,3063616,34386,6893248,1911101,7883556,2033359,6299494,32738,34377,1067854,42652,1646565,34396,2571443,4260838
63,63,0119782d4c0b4,103473,5479186,103580,1041700,103576,106174,716731,103526,1816038,1393437,9864508,1522347,1348991,2217122,8742148,1010857,818231,1010907,1331884,1389542,517671,103588,106173,1182462,3745422
64,64,011d248b267c2,54803,218456,2488076,109002,54800,1031578,14846,54821,55093,54980,2445766,1269868,3227710,7179508,95510,108999,1039380,3132790,55073,55051,150768,4324014,2708862,2179448,
65,65,0122325539aed,1739495,3508528,1374440,103523,2636686,7806062,1108133,7127030,106486,493236,106509,1344588,9119836,4774544,5736040,1788601,5862738,7221026,2475268,2295256,1646363,106153,1449821,9166608,4024198
66,66,01255cbaeb042,493421,2258650,503926,1550525,962211,5728568,682866,2826214,682871,3916286,2223124,5107034,1054058,4342558,731671,1945437,5969216,3197192,2023759,2717974,1179940,1647228,3133288,2328448,
67,67,012a2a2222f65,2043427,7698934,,,,,,,,,,,,,,,,,,,,,,,
68,68,012a54dcd8bc1,3921330,4454864,2795937,2517193,3248056,2489712,2489692,3248686,2814237,2681466,3963982,2795946,2489014,9993152,4696240,2486340,2490196,2982673,2717813,2717808,2681604,2489754,4012042,8455734,8389340
69,69,012dd5b726f60,7350672,4080288,6557732,7048812,3981828,4533722,6066916,6816040,7254378,2661711,3811490,5652684,7908336,10451862,2661706,2662188,3831792,4530550,4682166,4065806,2600312,5064040,6551626,2656858,2785510
70,70,012dfe84a1843,1153426,4553004,521336,3811810,1351828,693816,2784325,674016,519061,1339848,2621838,8400372,8113288,4605858,1339918,7993904,8131766,3910198,5111312,3820012,1837709,4574362,2776330,3839632,2296560
71,71,01314b5276bbe,60851,57410,65654,948309,141130,426591,4531026,381691,1491529,241481,357006,6031308,214581,1262083,440861,60521,58910,944741,67087,76886,447346,67103,56342,70291,958089
72,72,0134e3d222386,3811012,105478,2630257,105387,244501,105491,2630232,105458,105401,1398354,109078,3372716,1239916,8915182,7676186,2924248,1424773,1546425,2723702,1955985,2595280,5160210,5030334,1024640,380126
73,73,0134f64da8b03,7939,3143066,3819838,78281,3124458,61754,7938,79854,65126,7950,9737,73557,9736,7963,1299109,67169,6226642,67067,73085,7946,140199,241496,7958,63685,140810
74,74,01358a01c07bf,924521,2145574,3135044,4509520,7115810,103321,3132115,4525470,6235802,6235684,3214776,3175812,2707849,8270338,8150474,1632139,4400748,9689176,8174860,1245748,8259590,2181688,8171186,103340,3220230
75,75,0149ff820a094,998586,998593,4722096,7851978,7110814,5412896,7814900,998597,10064442,3804510,2236552,11191334,5196532,2212452,,,,,,,,,,,
76,76,01519bbbcaf74,8011586,897445,1952579,4637820,1430030,3747946,928883,1336985,1355333,4509856,4855840,6553560,6556870,6697142,6714234,8804440,9521074,5196264,4712254,5586742,4499942,3857468,10446454,9224436,1001553
77,77,0151dd1355bc8,8589,8621,8588,8618,8586,8577,8595,8568,8551,8564,8590,8529,8576,55677,72426,1083646,1810141,1238070,2793224,893925,1217148,8544,1094242,32727,8892164
78,78,015689a55f15d,2252166,3862380,2551022,2672950,2249972,3919220,2252172,2251950,2252234,9363418,2252220,2251968,2251976,4990140,6826860,,,,,,,,,,
79,79,015eb72f26f46,507656,868896,152146,406946,3135080,103353,3142572,1948587,2626992,3250108,1961709,7829074,1321830,103337,379616,2835357,1500637,103350,3066642,1627111,321361,2422650,2316952,2469460,1883577
80,80,01687ce7c3ba0,4753632,18454,149115,2296018,783266,47079,1771841,97790,12643,46461,2172390,4885128,5951388,149119,149036,2815040,47200,47175,47072,12707,3119605,82542,47101,925457,13968
81,81,016a3af1a7ce9,5007774,214671,381461,240731,367291,1727423,1008057,2382358,4416244,2261454,1933765,1105874,8201390,,,,,,,,,,,,
82,82,016ca26edefc3,5071,733241,4003514,1555933,3177630,159140,5079274,1289546,764576,3945834,6318442,2416301,16001,434286,5065048,86252,159143,51674,52464,153398,337636,3506302,11163416,1639841,53201
83,83,0178dfe5ab83f,3890666,1740277,2475733,2003387,1098502,3544700,1740275,3544822,3544678,3544604,4174332,3545088,1981681,1109947,1185074,8138352,3544932,,,,,,,,
84,84,0183ae2d4ae79,47065,1591945,1353128,2061330,3131836,11056824,9184596,18420,47551,97729,149103,149128,894659,18384,18410,48149,81872,1251726,1503835,2750430,4065436,5171078,5618366,5826862,12657
85,85,0184a710e537e,10256488,87115,112248,,,,,,,,,,,,,,,,,,,,,,
86,86,0188296422c44,8621,2793224,488501,8618,8578,8577,8518,8590,32727,1810141,8568,8561,8620,8599,8549,8582,8586,2583292,2386475,904927,58492,77520,102082,8521,8550
87,87,018b1b143217a,1011549,1702309,2731630,591806,4492298,962287,1190508,157029,1240725,1665067,6393118,1223046,2639846,1600241,1168529,9210400,244121,4483298,1559415,2862743,2645240,967043,8458486,1011551,244126
88,88,018b2209904c1,9182404,3768858,6679590,2265808,3582994,9195276,9700844,9439970,8109428,2099650,8219486,7283106,10445450,9673432,9464364,9665578,,,,,,,,,
89,89,018b54d8dd8a1,1034398,2728330,349956,320881,3135588,1972933,2439510,3821134,1034390,1785719,2087436,2319458,1286434,99434,2757598,349971,99444,99442,1109108,489576,1669327,99445,349976,2560118,1329754
90,90,01933dd6e75c0,7221716,3184892,3528776,1400476,3751762,7351004,2781070,131257,127687,3756528,3428276,1257194,4493966,102955,1167465,102957,5612072,5156744,2124004,102939,2299708,125763,107026,2718662,148871
91,91,0199d5dab4814,429691,54764,54737,54631,54607,54725,197116,1321256,54558,99652,54736,929395,54676,3378084,921879,4090532,,,,,,,,,
92,92,019d964c3a247,3549116,841496,34429,100228,959727,3842466,4028188,7150180,42467,100224,876881,152154,34436,2593763,6918192,8445350,34446,1953447,34467,2275620,100227,100226,2165018,3515296,34437
93,93,01a32271e6531,2846354,109360,1154513,93683,98516,104498,5806894,2145104,96052,3245462,478141,478261,4493038,478371,1993467,1499703,2634014,1771271,2519958,106416,109358,929499,3206168,5076002,2758664
94,94,01ac4dcf70f46,521616,1030480,5860932,7830802,10097174,595516,9479380,3478090,1031318,2563376,1019645,2905722,1226848,3971548,1330792,378471,516306,6619844,1510695,2108812,595511,954083,1812407,2031701,
95,95,01ad173e29c0d,2686515,99410,133489,135556,99422,8513668,54027,54112,54376,99412,99417,990475,1038152,1204728,2198018,3148936,3367984,3535082,396976,132653,16635,54178,16543,54125,54240
96,96,01ad87a379ece,2043097,,,,,,,,,,,,,,,,,,,,,,,,
97,97,01af95f3c02d6,152905,149060,18418,2195678,47079,1353128,4332914,5722432,46317,787341,9057762,12640,4738188,13962,6535552,47668,47799,1160332,2269834,2806922,47687,47101,5673664,47141,894665
98,98,01b573f403024,922039,1322200,148231,5968414,1710253,99078,55345,1350587,914661,989659,1437439,3814822,4211794,5081770,6832324,9600892,1240333,111408,4865140,8925,470611,8957,360986,8951,1332427
99,99,01bb536396ca3,6469958,3980676,9327528,4862394,9647862,9700552,8364744,6071336,8005560,7064736,6055284,6800442,9013630,9536384,7796468,9478688,9419576,9311230,,,,,,,
100,100,01bd3bce22829,2432707,325181,5195086,40407,4084732,40691,40636,1050762,998389,2095016,6759,3473112,6799,4012736,1270885,6761,2686203,14346,2380712,946061,40522,2951496,2097864,6782,998395
101,101,01bda48024371,5588,5566,32718,6507072,1345882,53806,5735,1258860,5606,6337998,907787,13026,5688,5587,5592,5716,5655,5674,1590585,5691,5728,6766746,5780,51534,83364
102,102,01c9d14bdb030,724986,54952,14854,2396954,3116818,6846692,54897,6918406,102475,109070,54985,5002590,55006,5203238,3750328,54869,54796,1145555,55140,109072,54938,54994,55018,3115936,55036
103,103,01ca36a772911,1104370,,,,,,,,,,,,,,,,,,,,,,,,
104,104,01d4c6aa8605b,2784325,496141,2128208,674016,1153426,1339848,8400372,1351828,693816,1837709,521336,2892128,519061,981929,8113288,1339918,4553004,2201652,2296560,1029982,3910198,1135230,3839632,4605858,1985155
105,105,01d5d1e34ab0f,42071,18112,42073,33138,107823,1824333,1667255,103051,106757,42152,1079918,945325,2161106,1628819,5983382,106631,3990784,3146170,3191383,5029108,1249367,4491206,7764722,4597314,3947516
106,106,01d70a3a1fb7c,42768,42884,349051,1050376,42442,43100,1815905,8766024,43001,489031,42365,2631244,42407,43141,932627,9701002,1817417,897983,3496252,2319440,741136,3243890,1314827,127738,2569442
107,107,01da8a1694a2c,499361,1668523,1564425,512066,511476,962853,2035539,2033761,2025379,1829973,4625138,2348468,2785396,1012043,3938730,2681116,1244845,8896980,9024962,2672912,9322964,9500076,9478164,8274072,6998448
108,108,01db0097a2148,203846,203921,1909599,203861,2177904,2213104,2282738,3135652,4967522,5023838,7860356,2612316,3829642,2396238,4333250,320831,3505220,521616,5106956,203911,3135642,5103698,4080326,320786,
109,109,01dcb5d4f0eec,3475786,2622066,101336,3770228,5820494,4891836,3477662,4414582,4273438,2887276,3500814,3184716,8817120,5077802,8169642,3508248,4342762,3137520,3804920,932827,7836572,5928236,6136468,5086368,6522074
110,110,01dcd88be03ff,108044,107773,7935958,2809996,5047818,925919,148868,930569,2718662,914109,4043954,1650097,102947,6354752,107183,1207257,3135664,148853,107162,6576330,891819,129303,5820942,915511,3874704
111,111,01e3b338ac681,1951743,2905342,5984786,11140472,1291383,2099858,8397702,3135628,2212028,6917644,9520948,2212074,11033976,2212042,3759304,6879628,3760530,3883762,2265024,2043389,,,,,
112,112,01e695ba736f7,800876,2682340,1704623,39947,352261,107801,946637,1216794,1329962,1109480,40678,40208,110828,80963,202531,542566,716286,1077858,40737,8775630,883577,100503,40847,1641815,1236881
113,113,01e69caa61a8b,94250,1374932,9860230,1260246,6841248,96917,4018492,112535,5992724,1094726,3222113,4597206,1166610,4562094,7272314,4810152,8447274,9519146,9516614,2636480,8260712,8333046,6675810,7919082,8923860
114,114,01ebb55b7e801,40726,82483,2825808,100542,1588199,1648611,351761,3154814,17769,40044,40860,80961,7107,81002,2666798,80902,149239,40733,40487,100494,40184,1322144,1094838,1963193,894709
115,115,01ed7095602eb,2810850,749911,5963164,34449,42378,9987878,34410,6049178,4040616,34437,42875,100226,2165018,3817730,9233238,1995769,488851,1001767,34418,42485,34429,100227,34414,34436,34432
116,116,01f353eb6d488,3134138,104213,104247,104214,104232,4371766,1236334,104233,104236,2196056,1183604,7921690,104248,6733382,1535729,152212,5014494,5657850,1327136,4377302,6311438,8429916,3971202,7336654,7253886
117,117,01f539279ccfb,1250223,1859057,4493122,4416184,3169334,1050072,3373451,5962960,4619800,818476,1009551,2045003,2018901,3539962,1014493,1014473,2040129,4775884,7688740,1050088,1739443,2815904,1458479,1179488,1984353
118,118,01f8d44dd3d16,5219916,5194136,4014376,2596836,5648840,5691764,5973220,10219304,5477974,2402224,1465983,2269284,9375064,2781044,2378038,4907318,3167240,2760924,3535518,3535534,8198232,11058270,6305642,10494500,8507366
119,119,01fa5e91d9848,5219934,49525,82197,99780,50220,17864,48488,215881,1383804,100026,5067678,49279,1176190,12350,919081,12324,12327,48454,1503745,152052,396906,5784860,181251,8147008,435001
120,120,01fadc24e5b89,2574997,3491710,10454394,5433082,660981,5681800,3763804,3182904,8289058,7202986,5432080,2096632,7858852,2024891,7890468,6138640,3908140,9994654,,,,,,,
121,121,01fbe76aa1e48,94007,93655,112119,96825,1548457,96101,2231500,787986,97537,398646,697791,2219318,94004,5434726,119981,96932,94581,96327,112116,3385362,697786,697796,1888725,7300144,94578
122,122,01fd66e3b81ed,2346576,944485,93943,5510936,1476545,1536321,93949,2848614,1021451,8775066,938762,2168968,937207,8229120,4828132,9174910,9486596,2132662,9070272,93945,4878674,1021471,2228748,8274836,5890840
123,123,01feb8a1eb762,4463274,2508858,6667562,6040098,9379690,7858116,5481160,818261,5133802,2312964,9810752,4636216,2312970,153309,103467,2177688,693536,3132062,6338612,6993544,473636,103479,103557,2088144,1287335
124,124,02021e3047ccb,3798860,164258,321381,1389344,996325,1455593,4839850,1825767,2866652,4787716,2659601,9012072,4957832,996349,5410396,5825384,166552,1772153,1478589,942573,996333,2634940,1535563,996339,3246628
125,125,02034782d5126,1376236,1077330,9170110,7952010,52525,2742762,2686498,10414134,3370954,10286046,93531,51119,1853079,4946436,3794550,7206388,1073142,159163,5197706,159176,159197,51241,1364168,1502953,1335824
126,126,02044bd6e06d7,3508738,320821,1352744,2282738,694326,4080258,1248941,4668896,9782634,10749580,476211,5741084,8169768,1649909,10558412,1161506,675136,8265476,9471474,8779400,10503728,1584619,2108812,4080326,8810832
127,127,020548c5d4eee,8922,8815112,987831,8892,989659,8947,7110112,3584510,7563658,8114368,8925,8928,55339,207691,900515,1301051,1320073,1330534,4387104,2724794,1969155,5962870,9358268,5196118,1718187
128,128,0206aef140de8,104765,2788294,111534,5493194,104648,4155306,2924213,109350,1223390,109351,1255025,1890529,104558,150138,478121,3148916,4327354,5790750,5507706,6452448,4415314,5830856,5874900,5066908,153550
129,129,02091436972de,1148728,1554487,1031940,5452024,4774542,5827212,8927108,4492588,1514583,7195676,818501,4991170,7743258,10051400,9535688,2419686,1236812,2528160,1003255,3145986,1230216,1356048,2266812,7213390,661646
130,130,0209153e344e9,512446,1823437,495981,2753996,2571283,2192296,2300566,6976994,3856480,9013362,6686140,690036,1259083,496116,,,,,,,,,,,
131,131,0209c91f7b1f3,9820950,1199294,96491,1098448,3184856,2655696,1293159,5808950,1328920,9496272,118206,1109911,1497045,1098426,6119590,1170017,4672052,10096742,6473380,9920186,8154228,9945784,7023366,6507922,1098420
132,132,021634e32c4f0,3808116,8520306,4178430,9721448,6192258,2841238,1541751,7045366,4500288,4437406,6047008,4488550,9950826,1706841,3860378,1198512,1467469,7331384,4538486,1292750,4732350,6465232,5197204,2662962,
133,133,02194a13dec53,2897510,105473,,,,,,,,,,,,,,,,,,,,,,,
134,134,02204e4f734e2,909841,7017,37225,7262,80996,9582,32827,95688,136071,1503241,6228584,6236736,9076112,2237706,2308148,2898774,38312,37132,616181,37148,153339,3424990,37134,37215,38311
135,135,022861c222cb6,1274942,9914848,2283768,4251554,3161938,1121606,971503,1008637,2303168,1247455,5818968,959615,2803392,4553536,2421940,9391084,1945299,4696978,3797250,4084118,5502340,3197054,1008639,2834730,7080788
136,136,02298adf480c2,2717676,4089430,2551186,9473178,2811320,7908202,9691924,9431090,8928940,10877450,10122294,9177786,8334184,5738704,4763260,9607556,3987310,7314928,,,,,,,
137,137,023f0da14055e,972269,74995,69469,7991380,70275,1639295,9847834,69689,1394332,10977460,3252332,61716,9562256,,,,,,,,,,,,
138,138,0247f77bf41da,1811137,2705854,8749,8700,2281194,1301669,8783,3480558,1455521,8742,8642,5105492,3385956,3580366,2705840,1845497,8830,8692,1372901,8682,2298566,3365737,1436082,8825,3967402
139,139,024a116d0f220,326951,2918677,1244915,8334508,2732748,3510286,1244954,1244960,1245026,1244937,6543944,2566271,1245038,2028431,1707955,939524,4083296,1245022,1244941,8946350,1244933,2603992,2258006,1245040,9370838
140,140,024b45b17d1e1,1768001,3132104,44817,44462,43646,10241542,2680046,10240156,2047619,2006677,10328808,5478356,43885,3183009,7837056,610756,9319540,10414738,1433440,10370132,6982298,9757908,9877936,10859798,
141,141,02559bc993380,2188538,2812566,7244758,7881768,4516994,2603868,5163214,5163690,,,,,,,,,,,,,,,,,
142,142,02571836f2e44,159264,1089954,4106836,4755262,9643704,9420170,5762430,2282038,6443030,4800028,9302424,538866,9220070,2140946,1114583,162208,5907526,7863170,4584606,1894033,2861868,5833858,7230522,5596208,7762154
