user_id,session_id,timestamp,step,action_type,reference,platform,city,device,current_filters,impressions,prices
78190IV6GY9Q,a120e652f9e90,1541440388,182,interaction item image,827781,US,"Edmundson, USA",desktop,,,
7YJ87ZFO6G8T,739f20b47a238,1541101596,295,interaction item image,34345,MX,"Acapulco, Mexico",desktop,,,
ZZEUK70CJN5T,77066bf78e394,1541437103,20,interaction item image,4572746,MX,"Isla Holbox, Mexico",desktop,,,
ZO486TL3X1LB,885d364b13b9c,1541180923,251,interaction item info,68799,US,"St. Pete Beach, USA",mobile,,,
OUPQQXSO5W22,4ad77d5d89837,1541428999,45,interaction item image,3249068,BR,"Angra dos Reis, Brazil",desktop,,,
VHMXNM9PMNY2,52340d169fc22,1541094850,18,clickout item,6047990,JP,"Osaka, Japan",mobile,Sort by Price,2315080|7155466|8262488|1033476|7128252|6676406|2102888|3500876|4463274|2798750|7030962|6069558|5780648|3485232|8208486|6040098|6047990|2217178|1886027|6468048|7176688|10722490|4968638|7235828|8792034,22|25|34|35|36|39|47|47|50|51|52|56|59|60|62|62|63|65|66|70|76|82|84|84|88
W95EVPXTR1GI,8c5d35de828c9,1541334073,1,search for destination,"Kotohira, Japan",JP,"Kotohira, Japan",mobile,,,
7BQZRX0X1OWN,664d28ba9890f,1541346339,65,interaction item image,1082324,HU,"Kecskemét, Hungary",desktop,,,
0L9JZNQ04E70,1679beb506666,1541063824,19,interaction item image,1216512,UK,"Kata Beach, Thailand",desktop,,,
9IV5X5BZQAH4,e31df81aefb96,1541168234,13,interaction item image,54160,AU,"Hong Kong, Hong Kong",tablet,,,
ADUJLTZJTJJC,35f3f6e35bc33,1541114383,88,interaction item image,100325,US,"Monterrey, Mexico",mobile,,,
9JBR5ZMJHUJ0,f82e01bf255b3,1541524948,22,interaction item image,921237,NO,"Amsterdam, Netherlands",mobile,,,
KVMK643GCFM3,d3a5b9394c035,1541518238,52,interaction item image,3134780,SG,"Saitama, Japan",tablet,,,
66CA5CUMNYZQ,ca64d08ec5241,1541348834,150,interaction item deals,98516,BR,"Salvador Bahia, Brazil",mobile,,,
3T5P9TDO7TN9,0438f1d9c1702,1541283880,15,clickout item,8013498,MX,"Sayulita, Mexico",mobile,,8013498|3066826|3247958|4765916|455976|918137|5704440|2785969|8174618|881101|100277|9678370|456981|5779802|7339722|100271|2571060|100275|684781|3477568|2556031|4779384|4203630|4911766|5974628,154|35|60|45|505|349|325|143|111|157|156|87|84|58|35|164|29|60|127|18|88|64|319|138|145
BKIVLHUZR208,2020c8c274ebe,1541107955,16,interaction item image,19904,IT,"Venice, Italy",desktop,,,
NYLNJ3J2OE6B,a20706b7aeac9,1541444602,39,interaction item image,923675,IT,"Brussels, Belgium",desktop,,,
OOFZDHIHD61N,ae5433bd69f1b,1541275982,7,change of sort order,price only,RU,"Istanbul, Turkey",mobile,,,
MNJ9RL001410,7e49d3911b39d,1541520322,31,interaction item image,981987,BR,"Porto Seguro, Brazil",desktop,,,
P89M99JX0TM9,a6b0649531568,1541504240,10,filter selection,Sort by Price,FR,"Marrakech, Morocco",mobile,Sort by Price,,
SUYBO64C5GI6,4f6fceab4ee19,1541282985,275,interaction item image,983903,DK,"Spokane, USA",desktop,,,
AB2JH07FCV4D,53af56689111f,1541309357,63,interaction item image,3212304,MY,"Malacca, Malaysia",mobile,,,
5KXWMG02HZ2X,12675aa8e85d2,1541391504,20,interaction item image,1310850,AU,"Bangkok, Thailand",desktop,,,
R726FE60W730,e52e1147270dd,1541158894,1,clickout item,3133250,BR,"Itanhaém, Brazil",mobile,,5825870|9214618|2673706|4635230|7134460|5215538|9686766|4836882|9474482|3133250|4780722|7841912|8199126|6107978|6907044|9241752|9421110|6635956|6980058|5999562|6920194|7291308|9028030|9378030,49|47|48|56|22|47|32|34|35|45|39|38|45|65|28|56|90|38|54|58|52|56|44|45
7WLPZAOYRONR,cc8efb09ebb9b,1541458075,26,interaction item image,3503806,BR,"Conselheiro Lafaiete, Brazil",mobile,,,
XPR91WU5OIVF,d9c5de1eab37d,1541307300,12,interaction item image,5091082,AU,"Kuta, Indonesia",mobile,,,
DKPASDLWK2JX,afb704937be8a,1541202174,7,interaction item image,4139398,US,"Cayo Santa María, Cuba",mobile,,,
7C2YIA3CCRY4,8c54981988d60,1541454326,6,clickout item,485141,IE,"Killarney, Ireland",mobile,,485141|19820|19821|888605|32637|32851|19822|19819|46047|854066|906385|485171|1332132|127639|46185|2045761|895213|854056|836621|46128|978951|18303|124799|46080|1717521,160|144|119|107|150|139|125|139|99|67|210|110|90|209|179|195|130|107|134|160|125|258|110|110|119
V5BWPZ2JAFCL,5948af34f81d4,1541352222,9,interaction item image,2198898,PE,"Ica, Peru",mobile,,,
T8DNCH20RE79,7bb1e5ba79f11,1541372059,119,interaction item image,43132,MX,"Oaxaca, Mexico",desktop,,,
EIUS7T0WJ7NH,cb0e99d8b6cbf,1541257342,25,interaction item image,94201,ES,"Costa del Silencio, Spain",mobile,,,
56VWD5KTEWBJ,7cec21b76af1b,1541497651,1,interaction item deals,3931772,TH,"Phatthalung, Thailand",desktop,,,
AT59GKBZ17E3,ffd795a459c62,1541089506,272,interaction item image,1996415,DE,"Oberstdorf, Germany",desktop,,,
QY744UDN5FND,1695dc36357d6,1541336955,342,interaction item image,8742,UK,"New York, USA",desktop,,,
4UV64DOIJ0NA,0008e0d108065,1541370937,24,interaction item image,2381174,UK,"London, United Kingdom",mobile,,,
7LP90UAWERWZ,82c22a5118411,1541183706,4,interaction item image,363291,IT,"Portorož, Slovenia",mobile,,,
RURVU262X80Z,bf1e094415409,1541530552,52,clickout item,2668878,NL,"The Hague, Netherlands",desktop,,1859751|39770|42117|2668878|33270|16395|84973|931579|148186|9521658|148187|105986|1731635|39772|9648568|100651|3092362|106740|150401|148189|105958|3164599|148188|5145908|106651,117|142|106|64|136|132|106|72|92|122|167|212|106|112|116|126|87|106|132|70|132|79|91|72|157
QUVARJ28PQW1,fab68d4d28a03,1541191711,17,interaction item image,2953262,UK,"Chengdu, China",mobile,,,
8RXPJZ5J282H,b0154eac12b8c,1541241155,17,clickout item,5478898,AA,"Alexandria, Egypt",mobile,Hotel|Resort|5 Star|4 Star,55233|5478898|1108317|128425|55287|908067|55263|121130|817541|128424|55227|1888477|8605940|942949,114|52|123|74|126|96|129|72|74|63|207|39|58|26
JW00UT0EDDJJ,4db453aee4bf4,1541521949,15,interaction item image,1370688,MX,"Morelia, Mexico",mobile,,,
CUQEXG2GERCZ,a9ac623bd92d6,1541093813,156,filter selection,Motel,BR,"Curitiba, Brazil",desktop,Jacuzzi (Hotel)|5 Star|Hotel|Motel|Resort|Hostal (ES),,
O6G1L2B0I6T6,c6581b6249479,1541039538,6,interaction item image,3246933,MX,"Celestún, Mexico",desktop,,,
8FYP5YBK1CF3,535bf45a23401,1541168527,100,interaction item info,1551005,ES,"Vienna, Austria",mobile,,,
G283O1A92QBP,05525e747ace4,1541081482,321,interaction item image,1689815,GR,"Rome, Italy",desktop,,,
J23T0S5Q2I67,28d15e9d2f9bd,1541465951,2,clickout item,8243,BR,"Orlando, USA",desktop,,8284|8243|78562|153305|67401|63660|3528204|8266|77317|61564|8270|149706|15580|64644|59569|917081|67383|102789|7183426|5432836|1418490|63376|79962|57328|67397,55|61|53|65|57|61|69|72|56|69|70|66|66|70|70|72|51|50|70|59|50|60|66|61|70
2SFED8C3VBRR,3286a76bfc8b5,1541144923,73,interaction item image,4016732,ES,"Rome, Italy",tablet,,,
CT8LV7BME55O,691385ed5dff6,1541420327,1,clickout item,2870048,BR,"Belo Horizonte, Brazil",desktop,,2870048|104732|3484138|105013|3187198|3427140|1689671|3148422|159641|3148418|2007769|3132914|5130222|757181|478181|104944|3817704|655661|3133080|3132908|2356628|3133102|961987|478526|478061,61|48|32|55|50|35|23|31|70|38|34|48|101|33|71|37|51|62|53|50|35|53|41|55|35
BNND07HCNMZZ,3f07a20d8ef81,1541058376,20,interaction item image,42880,MX,"Guadalajara, Mexico",mobile,,,
V0KQDI50F8QA,a32e11d9a906c,1541146205,219,interaction item image,9074748,UK,"Troutbeck, United Kingdom",tablet,,,
S8MTM9JQ5JM2,2d4d8153b4b6b,1541141609,29,filter selection,Resort,IT,"Rome, Italy",desktop,5 Star|Hotel|Motel|Resort|Hostal (ES),,
8W5MCZ6M61F5,16440690ad8dc,1541409509,17,interaction item image,2442148,MY,"Ipoh, Malaysia",desktop,,,
FMOWW6TV78GV,1ca36f24324ef,1541442981,44,interaction item image,140887,PL,"Vilnius, Lithuania",mobile,,,
Q56858FNFULF,2c2f452692357,1541361384,60,interaction item image,1321293,US,"Durban, South Africa",desktop,,,
0CDB4376GVBV,a0abdd7fef11d,1541435664,23,clickout item,33660,TR,"Girne, Cyprus",mobile,,33645|97271|33619|1256853|9353448|1309279|33630|33623|3181046|33672|4115064|4906156|33638|33613|33650|1456721|33618|33654|112780|960371|33673|33660|1430951|6458762|3406026,52|92|65|87|120|53|51|42|94|43|45|115|59|70|59|154|45|51|52|155|71|52|50|221|152
I1VQ1L52S2G0,a28ddcf2352af,1541533888,193,interaction item image,34371,MX,"Puerto Vallarta, Mexico",desktop,,,
3W3HSN46LP8V,4e2cdf9a3ac30,1541273859,74,interaction item image,7831534,ES,"Madrid, Spain",tablet,,,
UXTPU2VF928Q,cdabe43fdbf80,1541296555,43,interaction item image,1062772,US,"Seoul, South Korea",mobile,,,
KKYIM62AYYDK,e9d7c4c64d0ce,1541199195,1,interaction item image,152839,UK,"Leeds, United Kingdom",mobile,,,
OF42JS77P22X,b3a08ba9d34f3,1541372160,35,interaction item info,2197198,BR,"Angra dos Reis, Brazil",mobile,,,
N08C3F31NDQ0,84cd5ae855db1,1541163537,30,interaction item image,2263170,IT,"Recanati, Italy",mobile,,,
D6FISWKG0AYM,32b5df8168037,1541406694,115,interaction item image,54902,AU,"Sydney, Australia",desktop,,,
8R8ZQ78CM3QJ,331a2dce0e176,1541260686,22,interaction item image,53935,DE,"Copenhagen, Denmark",mobile,,,
Q26QMYF2TLZA,31efcba9b7d11,1541102159,488,interaction item image,5969290,BR,"São Caetano do Sul, Brazil",mobile,,,
N8YO1JB51XS1,b15e36901f1d4,1541473725,203,interaction item image,2733915,MY,"Ipoh, Malaysia",tablet,,,
O8B5291Y5X5L,bd6945ddfcc19,1541303094,2,clickout item,1833415,HK,"Macau, China",mobile,,1439759|211041|1833415|923995|4374008|5746552|1331323|5951320|4397680|1942971|4414018|3755088|134577|10150500|3970394|624306|2218556|3498870|891805|936399|2971514|2992098|4653128|1875655|2184590,235|281|144|102|155|200|120|164|102|307|100|97|113|326|141|99|102|164|187|89|95|84|142|143|154
IIYY3MOQYLQU,ff16fed7a361a,1541480177,13,interaction item rating,3829682,MY,"Mentakab, Malaysia",desktop,,,
V68PPIU5TAU0,f4bc8f631a6cc,1541037779,62,interaction item image,3133288,BR,"Porto de Galinhas, Brazil",desktop,,,
LA1OA7A1OV2J,1cfb81fb3c450,1541373002,28,interaction item image,135063,PL,"Szczecin, Poland",mobile,,,
THIW7UPTCYNW,33be6890ffc6e,1541437961,1,search for destination,"Long Beach, USA",US,"Long Beach, USA",desktop,Hotel Chain,,
D0ENM5KY5X74,2b6a05617a363,1541177912,19,interaction item image,4152870,UK,"Varadero, Cuba",desktop,,,
MAL8NRPNC6UC,d9cc99c8816b4,1541148883,51,interaction item image,1710373,AU,"Melbourne, Australia",mobile,,,
QZAHXX28JLM6,8754ae73ed0aa,1541056074,155,interaction item image,5529940,FI,"Rome, Italy",tablet,,,
37N11KTA57E5,844a8cb43c9cc,1541146057,15,interaction item image,2469404,SG,"Bandar Hilir, Malaysia",desktop,,,
END3IVI0ZQIB,58b547747373b,1541430771,6,clickout item,9801118,PH,"Baler, Philippines",tablet,,5095604|6410584|7727396|7937368|8154726|8736250|8746964|8747822|8751078|8868500|8905620|9233534|9351184|9704860|9708340|9709644|9770552|9801118|10333508|9263574|3824132|5068360|3860404,73|29|26|48|44|34|55|48|56|32|48|41|39|42|38|49|11|19|35|52|37|32|27
7RH60LKTMV5Y,f2076b76e7f42,1541273679,93,interaction item image,42459,AR,"Cancun, Mexico",mobile,,,
Y6YQJG9B8E8P,200e135a8062d,1541201632,13,interaction item image,397981,MX,"Mazatlán, Mexico",mobile,,,
KYOU27S0EKG0,6aa6dc51d3825,1541176390,8,filter selection,3 Star,DE,"Amsterdam, Netherlands",desktop,Very Good Rating|Hotel|Resort|4 Star|3 Star,,
389PJ7ZS5AXU,1d050637cd497,1541374828,56,interaction item image,152111,DE,"Budapest, Hungary",desktop,,,
51U688O6NYO9,e8624ffb6d217,1541355342,22,interaction item image,728611,ES,"Las Palmas, Spain",mobile,,,
8TUM5WSYYFVE,68e498d294afa,1541430258,5,interaction item image,437421,CA,"Vaughan, Canada",mobile,,,
5QPK1KU17A60,7ed140638cef2,1541533144,98,interaction item image,2307346,TR,"Istanbul, Turkey",mobile,,,
8JAKRUKQ9641,ffd59103defc0,1541218537,87,interaction item image,103643,JP,"Atsugi, Japan",mobile,,,
U67FXAZBJJ5D,6c763a6d9d94d,1541323622,237,interaction item image,3867784,IN,"Kochi, India",tablet,,,
FJQY5OVO7D6G,ef5290a672417,1541356652,1,search for destination,"Mugla, Turkey",TR,"Mugla, Turkey",mobile,,,
7OVQR82J2ZLA,909fea1798c0d,1541313891,5,interaction item image,105736,AU,"Blackheath, Australia",desktop,,,
SU92UN3VX8S2,dc5a2c8088144,1541361245,42,clickout item,1283330,CA,"Hong Kong, Hong Kong",desktop,5 Star|4 Star|Hotel|Motel|Resort|Hostal (ES)|Good Rating|Sort By Popularity,16588|16637|672586|16634|54132|16687|1283330|3836246|99419|54348|1108092|99416|99417|1812485|16545|54146|54112|99424|54125|54239|54240|1360737|5816350|4271574|99429,597|371|187|545|276|402|263|241|233|322|221|339|277|337|393|281|344|228|273|243|269|236|166|329|171
NV39AETPDH5Y,d1de7cf96c8bc,1541231599,65,interaction item image,1384927,BR,"Canoa Quebrada, Brazil",desktop,,,
HN3DH3FJ0ZLX,9e7f44af9c619,1541485590,11,interaction item image,2665158,IN,"Ujjain, India",mobile,,,
HG4TPTYTAO2X,cedc9905ec596,1541032126,307,interaction item image,2817934,CA,"Uvero Alto, Dominican Republic",mobile,,,
YU5UY84Y46WS,f86b6fe016bd7,1541436809,13,interaction item image,104392,US,"San Salvador, El Salvador",mobile,,,
D0X7K8EK795N,6174e7b86dcb4,1541161034,3,interaction item deals,98450,BE,"Koh Chang, Thailand",mobile,,,
ALFG67PAKFU8,fdf00aaca8e20,1541068877,10,interaction item image,1986643,MY,"Kuching, Malaysia",mobile,,,
XEY6LMIFH1I7,8967ff112e1f0,1541215819,13,interaction item image,3248228,EC,"Cuenca, Ecuador",mobile,,,
VALHMUXDYH99,58384910fbfa1,1541400466,186,interaction item image,55319,DE,"Dubai, United Arab Emirates",mobile,,,
841B0K33BD75,65e32e45b0df0,1541232094,45,interaction item image,3873416,MY,"Lumut, Malaysia",mobile,,,
HNLF95ZHQQH8,ac295eb6467ef,1541222855,19,interaction item image,1347852,ZA,"Cape Town, South Africa",tablet,,,
KFQVJ5FPD1FE,861dfb72d76da,1541120044,6,interaction item image,1656747,BR,"Foz do Iguaçu, Brazil",mobile,,,
FVZ3WQ2KKLU6,a541d7ae86dc3,1541541365,2,change of sort order,interaction sort button,BR,"Curitiba, Brazil",desktop,,,
R5W8ZUVF4TY6,93313caa65d58,1541281722,21,interaction item image,2353034,BR,"Morro de São Paulo, Brazil",mobile,,,
F8UXY4K656HJ,838a53af6cfe4,1541197544,3,clickout item,4773276,NZ,"Palmerston North, New Zealand",desktop,,3842622|1034286|1416174|1416964|981471|1034276|1034264|428406|165186|1906873|4773276|3880416|1034272|1884837|1592321|1460413|3479278|1366634|1774825|1034280|510716|981473|370676|1414772|1366636,76|68|96|67|97|82|99|73|90|56|87|77|73|98|71|95|81|94|96|66|85|87|82|76|70
6Z1VU22YZZDP,e6a7fd98a1091,1541105290,65,interaction item image,102828,ES,"Móstoles, Spain",mobile,,,
302A6KA5ZTGZ,1dfd613241b2f,1541342321,4,interaction item image,161985,ES,"Llanes, Spain",desktop,,,
6XZ7UIESKMT8,a19029592b1c1,1541379585,10,interaction item image,3757156,MX,"Tapalpa, Mexico",desktop,,,
85532REQ96SD,cd300bdae5257,1541191796,25,interaction item image,73482,US,"Fort Lauderdale, USA",mobile,,,
ZU0T8929236I,3543ce399e6c2,1541268198,13,interaction item image,61418,ES,"Kissimmee, USA",desktop,,,
FZN1AHSRI2IU,a44b6475e9580,1541512960,549,interaction item image,105009,BR,"Fortaleza, Brazil",desktop,,,
NDUZCXOV85OW,8073949d536fe,1541511958,234,interaction item image,1031614,BR,"Foz do Iguaçu, Brazil",desktop,,,
39BFY40HPZ54,748bd78ec8141,1541277593,90,interaction item image,3904582,DE,"Lisbon, Portugal",desktop,,,
M3PRFBOQPN8W,c6cef793aeda1,1541288661,75,interaction item image,2231500,CA,"Agadir, Morocco",desktop,,,
CYXKUDM28ICL,e7dfd4292cbf0,1541451446,364,interaction item image,1248428,US,"Kruger National Park, South Africa",desktop,,,
38YWAE3OD1CB,2a9ee212db76c,1541535863,31,interaction item image,43343,DE,"Opatija, Croatia",tablet,,,
9BPEQSFCJSHO,830fd5ab6f7a2,1541113855,55,interaction item image,1953447,MX,"Cancun, Mexico",desktop,,,
6AKHN92I48XX,1c2487eb9c1d9,1541443804,294,interaction item image,34423,BR,"Cancun, Mexico",desktop,,,
VHKSR513WVXB,6f921b3796181,1541362155,175,interaction item image,1307050,BR,"Gramado, Brazil",mobile,,,
815VKSJLGZ9V,80a4681130529,1541149090,1,clickout item,3375073,ZA,"Bela Bela, South Africa",mobile,,3375073|10015594|4248956|2571004|3956716|6993310|7381204|9457872|1080068|9845752,104|214|202|135|207|303|268|214|242|274
3E2S6289W85C,86231fd63a170,1541485958,43,interaction item image,39761,TH,"Kanchanaburi, Thailand",desktop,,,
29RYY20C4BP1,0811ed515e942,1541352330,1,clickout item,149351,MX,"Mazatlán, Mexico",mobile,,8448492|397981|8113168|149351|42748|1493537|42797|34562|4876860|34559|1725119|43113|9359836|34558|34557|5071424|7220130|6623552|9348552|42802|42792|10059558|396671|43099|42820,66|47|89|29|62|57|54|199|48|31|66|88|40|66|54|80|48|82|27|54|68|74|57|31|61
NT9QMN0TITTD,73864848360b7,1541486496,54,interaction item image,41795,DE,"Sonthofen, Germany",desktop,,,
C3376HLM2M75,52914a597836c,1541150615,13,clickout item,150980,IT,"Venice, Italy",tablet,,20114|6207340|45620|19915|84109|150979|150980|20010|4057380|20119|211156|4014686|45137|20086|85676|10494778|82560|8122418|150995|6111016|20079|19873|2467240|84434|2948662,100|47|68|100|95|114|110|104|119|109|110|98|112|102|47|105|103|68|105|120|99|105|119|98|78
A2MLG15KZ512,091dd5f7fbb3e,1541485010,1,clickout item,4248956,ZA,"Bela Bela, South Africa",desktop,,3375073|4248956|7306272|3227320|2313136|5497570|439336|4072074|10015594|3885770|3191166|2571004|3961838|3189894|3208694|7720402|6234200|6006696|7954670|9845752|8142570,49|127|53|161|78|161|416|47|173|54|234|56|31|34|37|53|173|62|36|133|42
SCBBSWCLZ3UW,f712130967064,1541349842,26,interaction item image,2420354,BR,"Florianópolis, Brazil",mobile,,,
6UDAQ0B737MH,91a3cd2e71c90,1541211798,1,filter selection,Focus on Distance,US,"New York, USA",mobile,Focus on Distance,,
R4HO5OK07ZMV,8b4a5bb3246b0,1541101360,54,interaction item image,1355884,BR,"Vancouver, Canada",desktop,,,
JGVZRQ001187,bc49546ef0f7b,1541167268,131,interaction item image,4987630,MX,"Aguascalientes, Mexico",mobile,,,
F22SYVX2M51R,41d5258c04e20,1541304201,14,interaction item image,1023079,HK,"Nagasaki, Japan",tablet,,,
R0DPK2RA25GM,6460bf7e2ff70,1541386135,57,interaction item image,34418,US,"Cancun, Mexico",mobile,,,
N5KRPEP5UE74,9581673488de8,1541143701,32,interaction item image,3532564,VN,"Singapore, Singapore",mobile,,,
MH5UY15FFU02,659bec9e9bf30,1541078828,1,filter selection,Jacuzzi (Hotel),NL,"The Hague, Netherlands",desktop,Jacuzzi (Hotel),,
73KOT43TAJ6O,75cf9513819d5,1541397501,94,interaction item image,5781176,TR,"Çanakkale, Turkey",mobile,,,
6S3PKZLDNR5W,b0327a01911ab,1541115428,5,interaction item deals,6733562,UK,"Manchester, United Kingdom",mobile,,,
10X5478DZYTR,e00039fd8a4d8,1541171661,94,interaction item image,108470,IT,"Montegrotto Terme, Italy",desktop,,,
VWDJK80KWQ47,7c6f5ecd365cb,1541185436,118,interaction item image,2870052,CH,"Amsterdam, Netherlands",desktop,,,
KA95IQBM1UC9,95e0050e7be6f,1541448665,134,interaction item image,323896,BR,"Campo Grande, Brazil",desktop,,,
