item_id,properties
6659,Satellite TV|Golf Course|Sailing|Resort|Airport Shuttle|Cosmetic Mirror|Safe (Hotel)|Telephone|Sitting Area (Rooms)|Reception (24/7)|Massage|Hotel Bar|Bathtub|Satisfactory Rating|Room Service|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Towels|Very Good Rating|Television|Business Hotel|Shower|Steam Room|Cot|Hairdryer|Beach|Beauty Salon|From 3 Stars|Good Rating|Radio|4 Star|From 4 Stars|Deck Chairs|Family Friendly|Room Service (24/7)|Desk|Tennis Court (Indoor)|Balcony|WiFi (Public Areas)|Horse Riding|Surfing|Hot Stone Massage|Openable Windows|Spa (Wellness Facility)|Restaurant|Laundry Service|Ironing Board|Free WiFi (Combined)|Tennis Court|Boat Rental|From 2 Stars|Business Centre|Bowling|Sauna|Electric Kettle|Kids' Club|Porter|Bike Rental|Self Catering|Free WiFi (Rooms)|Non-Smoking Rooms|Car Park|Safe (Rooms)|Swimming Pool (Indoor)|Jacuzzi (Hotel)|Flatscreen TV|Body Treatments|Childcare|Pet Friendly|Volleyball|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Central Heating
6853,Satellite TV|Sailing|Airport Shuttle|Diving|Safe (Hotel)|Telephone|Hotel|All Inclusive (Upon Inquiry)|On-Site Boutique Shopping|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Shooting Sports|Swimming Pool (Bar)|Sun Umbrellas|Massage|Hotel Bar|Pool Table|Club Hotel|Bathtub|Satisfactory Rating|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Towels|Very Good Rating|Television|Business Hotel|Direct beach access|Shower|Spa Hotel|Swimming Pool (Outdoor)|Cot|Hairdryer|Nightclub|Beach|Beauty Salon|From 3 Stars|Convention Hotel|Good Rating|4 Star|From 4 Stars|Organised Activities|Table Tennis|Deck Chairs|Family Friendly|Desk|Balcony|WiFi (Public Areas)|Horse Riding|Spa (Wellness Facility)|Restaurant|Laundry Service|Free WiFi (Combined)|Tennis Court|Romantic|Boat Rental|From 2 Stars|Conference Rooms|Sauna|Bike Rental|Non-Smoking Rooms|Car Park|Concierge|Safe (Rooms)|Fitness|Swimming Pool (Indoor)|Jacuzzi (Hotel)|Large Groups|Singles|Hairdresser|Computer with Internet|Pet Friendly|Volleyball|Fridge|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Central Heating
7362,Satellite TV|Cosmetic Mirror|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Swimming Pool (Bar)|Sun Umbrellas|Hotel Bar|Pool Table|Bathtub|Satisfactory Rating|Luxury Hotel|Terrace (Hotel)|Towels|Very Good Rating|Television|Business Hotel|Shower|Swimming Pool (Outdoor)|Cot|Hairdryer|Beach|From 3 Stars|Good Rating|4 Star|From 4 Stars|Table Tennis|Deck Chairs|Family Friendly|WiFi (Public Areas)|Surfing|Openable Windows|Restaurant|Laundry Service|Free WiFi (Combined)|Tennis Court|From 2 Stars|Conference Rooms|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Car Park|Safe (Rooms)|Fitness|Jacuzzi (Hotel)|Honeymoon|Large Groups|Singles|Computer with Internet|Pet Friendly|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Central Heating
7994,Satellite TV|Golf Course|Airport Shuttle|Safe (Hotel)|Telephone|Hotel|Convenience Store|Reception (24/7)|Air Conditioning|Teleprinter|Cable TV|Hotel Bar|Bathtub|Room Service|Luxury Hotel|Television|Business Hotel|Shower|Microwave|Cot|Gym|Hairdryer|Beach|Accessible Parking|From 3 Stars|Radio|From 4 Stars|Family Friendly|Desk|WiFi (Public Areas)|Openable Windows|Express Check-In / Check-Out|Restaurant|Laundry Service|Ironing Board|Tennis Court|Romantic|From 2 Stars|Business Centre|Conference Rooms|3 Star|Electric Kettle|Accessible Hotel|Non-Smoking Rooms|Car Park|Concierge|Computer with Internet|WiFi (Rooms)|Swimming Pool (Combined Filter)|Washing Machine|Lift|Central Heating
8476,Satellite TV|Sailing|Safe (Hotel)|Telephone|Hotel|Sitting Area (Rooms)|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Massage|Hotel Bar|Bathtub|Satisfactory Rating|Room Service|Hiking Trail|Luxury Hotel|Very Good Rating|Television|Business Hotel|Shower|Steam Room|Cot|Gym|Hairdryer|Health Retreat|From 3 Stars|Convention Hotel|Good Rating|Radio|Family Friendly|Desk|WiFi (Public Areas)|Openable Windows|Spa (Wellness Facility)|Restaurant|Laundry Service|Ironing Board|Romantic|Boat Rental|From 2 Stars|Business Centre|Conference Rooms|3 Star|Sauna|Electric Kettle|Porter|Non-Smoking Rooms|Car Park|Concierge|Safe (Rooms)|Fitness|Swimming Pool (Indoor)|Jacuzzi (Hotel)|Excellent Rating|Computer with Internet|WiFi (Rooms)|Swimming Pool (Combined Filter)|Lift|Central Heating
8810,Satellite TV|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Massage|Hotel Bar|Bathtub|Satisfactory Rating|Room Service|Hiking Trail|Luxury Hotel|Very Good Rating|Television|Business Hotel|Shower|Cot|Gym|Hairdryer|Beach|From 3 Stars|Good Rating|Radio|4 Star|From 4 Stars|Family Friendly|Room Service (24/7)|Desk|WiFi (Public Areas)|Openable Windows|Express Check-In / Check-Out|Restaurant|Laundry Service|Ironing Board|Romantic|Boat Rental|From 2 Stars|Business Centre|Conference Rooms|Porter|Non-Smoking Rooms|Car Park|Concierge|Safe (Rooms)|Fitness|Childcare|Computer with Internet|Pet Friendly|Fridge|WiFi (Rooms)|Lift|Central Heating
9716,Satellite TV|Sailing|Resort|Airport Shuttle|Diving|Telephone|Sitting Area (Rooms)|Reception (24/7)|Air Conditioning|Cable TV|Sun Umbrellas|Massage|Hotel Bar|Bathtub|Satisfactory Rating|Room Service|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Towels|Television|Business Hotel|Direct beach access|Shower|Swimming Pool (Outdoor)|Gym|Beach|Beauty Salon|From 3 Stars|Good Rating|4 Star|From 4 Stars|Deck Chairs|Family Friendly|Room Service (24/7)|Desk|Surfing|Openable Windows|Spa (Wellness Facility)|Restaurant|Bungalows|Laundry Service|Ironing Board|Romantic|Boat Rental|From 2 Stars|Conference Rooms|Sauna|Electric Kettle|Kids' Club|Porter|Playground|Car Park|Concierge|Jacuzzi (Hotel)|Doctor On-Site|Body Treatments|Childcare|Computer with Internet|Swimming Pool (Combined Filter)|Lift
12136,Satellite TV|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Cable TV|Hotel Bar|Bathtub|Satisfactory Rating|Room Service|Luxury Hotel|Television|Business Hotel|Shower|Cot|Hairdryer|From 3 Stars|Good Rating|Radio|Family Friendly|Desk|WiFi (Public Areas)|Openable Windows|Laundry Service|Ironing Board|Free WiFi (Combined)|Romantic|From 2 Stars|Business Centre|Conference Rooms|3 Star|Free WiFi (Rooms)|Non-Smoking Rooms|Concierge|Safe (Rooms)|Childcare|Computer with Internet|Pet Friendly|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Central Heating
12207,Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Sitting Area (Rooms)|Reception (24/7)|Air Conditioning|Pool Table|Bathtub|Satisfactory Rating|Room Service|Luxury Hotel|Television|Business Hotel|Shower|Hairdryer|From 3 Stars|Good Rating|4 Star|From 4 Stars|Family Friendly|Desk|WiFi (Public Areas)|Openable Windows|Express Check-In / Check-Out|Design Hotel|Laundry Service|Free WiFi (Combined)|Romantic|Gay-friendly|From 2 Stars|Business Centre|Sauna|Porter|Free WiFi (Rooms)|Non-Smoking Rooms|Car Park|Concierge|Safe (Rooms)|Swimming Pool (Indoor)|Childcare|Computer with Internet|Pet Friendly|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Central Heating
12415,Satellite TV|Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Convenience Store|Reception (24/7)|Hotel Bar|Pool Table|Satisfactory Rating|Room Service|Luxury Hotel|Terrace (Hotel)|Television|Minigolf|Business Hotel|Shower|Cot|Hairdryer|Ski Resort|Beach|Beauty Salon|From 3 Stars|Good Rating|From 4 Stars|Family Friendly|Room Service (24/7)|Desk|WiFi (Public Areas)|Openable Windows|Restaurant|Laundry Service|Ironing Board|Free WiFi (Combined)|Romantic|Gay-friendly|From 2 Stars|3 Star|Electric Kettle|Accessible Hotel|Porter|Free WiFi (Rooms)|Non-Smoking Rooms|Fan|Flatscreen TV|Childcare|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Central Heating
12549,Satellite TV|Sailing|Diving|Safe (Hotel)|Telephone|Hotel|Sitting Area (Rooms)|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Hotel Bar|Pool Table|Satisfactory Rating|Room Service|Luxury Hotel|Television|Business Hotel|Shower|Cot|Gym|Hairdryer|Beach|From 3 Stars|Good Rating|4 Star|From 4 Stars|Family Friendly|Desk|WiFi (Public Areas)|Surfing|Openable Windows|Express Check-In / Check-Out|Spa (Wellness Facility)|Restaurant|Laundry Service|Ironing Board|Boat Rental|From 2 Stars|Business Centre|Conference Rooms|Electric Kettle|Bike Rental|Non-Smoking Rooms|Car Park|Concierge|Fan|Large Groups|Computer with Internet|WiFi (Rooms)|Lift|Central Heating
12695,Satellite TV|Safe (Hotel)|Telephone|Hotel|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Hotel Bar|Satisfactory Rating|Room Service|Luxury Hotel|Television|Business Hotel|Shower|Cot|Gym|Hairdryer|From 3 Stars|Good Rating|Radio|4 Star|From 4 Stars|Family Friendly|Room Service (24/7)|Desk|WiFi (Public Areas)|Openable Windows|Express Check-In / Check-Out|Restaurant|Laundry Service|Ironing Board|Free WiFi (Combined)|Romantic|Gay-friendly|From 2 Stars|Business Centre|Conference Rooms|Electric Kettle|Accessible Hotel|Porter|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Concierge|Safe (Rooms)|Fitness|Fan|Flatscreen TV|Honeymoon|Large Groups|Singles|Computer with Internet|Pet Friendly|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Central Heating
13597,Satellite TV|Sailing|Airport Shuttle|Cosmetic Mirror|Telephone|Hotel|Senior Travellers|Convenience Store|Cable TV|2 Star|Satisfactory Rating|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Very Good Rating|Television|Minigolf|Business Hotel|Shower|Cot|Hairdryer|Beach|Good Rating|Radio|Family Friendly|Desk|Balcony|Horse Riding|Surfing|Openable Windows|Express Check-In / Check-Out|Free WiFi (Combined)|Tennis Court|Boat Rental|Gay-friendly|Bowling|Conference Rooms|Sauna|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Playground|Car Park|Fitness|Large Groups|Volleyball|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Central Heating
13683,Satellite TV|Golf Course|Sailing|Diving|Cosmetic Mirror|Safe (Hotel)|Telephone|Hotel|Senior Travellers|Convenience Store|Sitting Area (Rooms)|Reception (24/7)|Air Conditioning|Swimming Pool (Bar)|Sun Umbrellas|Massage|Hotel Bar|5 Star|Bathtub|Satisfactory Rating|Room Service|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Towels|Very Good Rating|Minigolf|Business Hotel|Spa Hotel|Swimming Pool (Outdoor)|Cot|Gym|Hairdryer|Beauty Salon|From 3 Stars|Convention Hotel|Good Rating|From 4 Stars|Organised Activities|Deck Chairs|Family Friendly|Desk|Balcony|WiFi (Public Areas)|Horse Riding|Openable Windows|Spa (Wellness Facility)|Restaurant|Laundry Service|Ironing Board|Free WiFi (Combined)|Tennis Court|From 2 Stars|Business Centre|Conference Rooms|Sauna|Hammam|Kids' Club|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Playground|Car Park|Safe (Rooms)|Fitness|Swimming Pool (Indoor)|Jacuzzi (Hotel)|Flatscreen TV|Honeymoon|Large Groups|Hairdresser|Body Treatments|Childcare|Volleyball|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift
13819,Telephone|Hotel|Sitting Area (Rooms)|Hotel Bar|Satisfactory Rating|Terrace (Hotel)|Television|Minigolf|Business Hotel|Shower|Accessible Parking|From 3 Stars|Desk|Openable Windows|Restaurant|From 2 Stars|Halal Food|Conference Rooms|3 Star|Non-Smoking Rooms|Car Park
13839,Sailing|Diving|Safe (Hotel)|Telephone|Hotel|Convenience Store|Reception (24/7)|Air Conditioning|Hotel Bar|Bathtub|Satisfactory Rating|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Very Good Rating|Television|Business Hotel|Shower|Cot|Hairdryer|Beach|From 3 Stars|Good Rating|Family Friendly|Desk|WiFi (Public Areas)|Surfing|Openable Windows|Laundry Service|Free WiFi (Combined)|Boat Rental|Gay-friendly|From 2 Stars|3 Star|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Car Park|Safe (Rooms)|Computer with Internet|Fridge|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Central Heating
14156,Golf Course|Sailing|Cosmetic Mirror|Safe (Hotel)|Hotel|Sitting Area (Rooms)|Cable TV|Pool Table|Satisfactory Rating|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Television|Minigolf|Business Hotel|Direct beach access|Shower|Cot|Hairdryer|Beach|Hypoallergenic Bedding|Good Rating|4 Star|Desk|Tennis Court (Indoor)|Balcony|WiFi (Public Areas)|Horse Riding|Surfing|Openable Windows|Spa (Wellness Facility)|Free WiFi (Combined)|Tennis Court|Boat Rental|Sauna|Accessible Hotel|Bike Rental|Free WiFi (Rooms)|Non-Smoking Rooms|Safe (Rooms)|Swimming Pool (Indoor)|Singles|Pet Friendly|WiFi (Rooms)|Free WiFi (Public Areas)|Lift|Central Heating
14286,Satellite TV|Telephone|Hotel|Sitting Area (Rooms)|Bathtub|Satisfactory Rating|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Very Good Rating|Television|Shower|Cot|Hairdryer|Beach|From 3 Stars|Good Rating|Radio|Family Friendly|Desk|Horse Riding|Openable Windows|Restaurant|Tennis Court|Boat Rental|From 2 Stars|Solarium|Bowling|3 Star|Sauna|Bike Rental|Non-Smoking Rooms|Car Park|Safe (Rooms)|Excellent Rating|Volleyball|Central Heating
14520,Safe (Hotel)|Telephone|Hotel|Sitting Area (Rooms)|Reception (24/7)|Cable TV|Massage|Hotel Bar|Pool Table|Bathtub|Satisfactory Rating|Room Service|Luxury Hotel|Towels|Very Good Rating|Television|Shower|Steam Room|Spa Hotel|Cot|Hairdryer|Ski Resort|Health Retreat|Nightclub|From 3 Stars|Good Rating|4 Star|From 4 Stars|Family Friendly|Skiing|Desk|WiFi (Public Areas)|Openable Windows|Spa (Wellness Facility)|Restaurant|From 2 Stars|Solarium|Sauna|Porter|Non-Smoking Rooms|Car Park|Swimming Pool (Indoor)|Childcare|Computer with Internet|Pet Friendly|WiFi (Rooms)|Swimming Pool (Combined Filter)|Washing Machine|Lift|Central Heating
14673,Satellite TV|Safe (Hotel)|Telephone|Hotel|Wheelchair Accessible|Country Hotel|Massage|Hotel Bar|Pool Table|Satisfactory Rating|Hiking Trail|Luxury Hotel|Terrace (Hotel)|Television|Minigolf|Business Hotel|Shower|Cot|Gym|Hairdryer|Ski Resort|From 3 Stars|Good Rating|Radio|Table Tennis|Family Friendly|Skiing|Desk|Tennis Court (Indoor)|WiFi (Public Areas)|Openable Windows|Spa (Wellness Facility)|Restaurant|Tennis Court|Romantic|From 2 Stars|Bowling|Conference Rooms|3 Star|Sauna|Bike Rental|Non-Smoking Rooms|Playground|Car Park|Fitness|Swimming Pool (Indoor)|Large Groups|Childcare|Pet Friendly|WiFi (Rooms)|Swimming Pool (Combined Filter)|Lift|Central Heating
15010,Satellite TV|Sailing|Safe (Hotel)|Telephone|Hotel|All Inclusive (Upon Inquiry)|On-Site Boutique Shopping|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Swimming Pool (Bar)|Sun Umbrellas|Massage|Hotel Bar|Club Hotel|Satisfactory Rating|Luxury Hotel|Theme Hotel|Terrace (Hotel)|Towels|Very Good Rating|Television|Minigolf|Business Hotel|Direct beach access|Shower|Swimming Pool (Outdoor)|Cot|Nightclub|Beach|Beauty Salon|Accessible Parking|From 3 Stars|Good Rating|4 Star|From 4 Stars|Deck Chairs|Family Friendly|Balcony|WiFi (Public Areas)|Horse Riding|Surfing|Openable Windows|Restaurant|Bungalows|Free WiFi (Combined)|Tennis Court|Boat Rental|From 2 Stars|Halal Food|Sauna|Hammam|Porter|Bike Rental|Non-Smoking Rooms|Playground|Car Park|Concierge|Safe (Rooms)|Fitness|Swimming Pool (Indoor)|Beach Bar|Singles|Hairdresser|Doctor On-Site|Excellent Rating|Childcare|Volleyball|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift
15527,Safe (Hotel)|Telephone|Hotel|Sitting Area (Rooms)|On-Site Boutique Shopping|Reception (24/7)|Wheelchair Accessible|Air Conditioning|Cable TV|Sun Umbrellas|Massage|Hotel Bar|5 Star|Bathtub|Satisfactory Rating|Room Service|Luxury Hotel|Terrace (Hotel)|Very Good Rating|Television|Business Hotel|Shower|Swimming Pool (Outdoor)|Cot|Gym|Hairdryer|Beauty Salon|Accessible Parking|From 3 Stars|Convention Hotel|Good Rating|From 4 Stars|Deck Chairs|Family Friendly|Desk|WiFi (Public Areas)|Openable Windows|Express Check-In / Check-Out|Spa (Wellness Facility)|Restaurant|Laundry Service|Tennis Court|Romantic|From 2 Stars|Business Centre|Conference Rooms|Electric Kettle|Accessible Hotel|Porter|Non-Smoking Rooms|Car Park|Concierge|Safe (Rooms)|Large Groups|Childcare|Swimming Pool (Combined Filter)|Lift
15714,Golf Course|Telephone|Hotel|Sitting Area (Rooms)|On-Site Boutique Shopping|Reception (24/7)|Air Conditioning|Teleprinter|Cable TV|Swimming Pool (Bar)|Hotel Bar|Bathtub|Satisfactory Rating|Room Service|Luxury Hotel|Towels|Very Good Rating|Television|Business Hotel|Shower|Swimming Pool (Outdoor)|Gym|Hairdryer|Accessible Parking|From 3 Stars|Convention Hotel|Good Rating|Radio|From 4 Stars|Deck Chairs|Family Friendly|Room Service (24/7)|Desk|WiFi (Public Areas)|Express Check-In / Check-Out|Restaurant|Laundry Service|Ironing Board|Free WiFi (Combined)|Tennis Court|Romantic|From 2 Stars|Business Centre|Conference Rooms|3 Star|Electric Kettle|Accessible Hotel|Porter|Free WiFi (Rooms)|Non-Smoking Rooms|Car Park|Concierge|Safe (Rooms)|Jacuzzi (Hotel)|Flatscreen TV|Computer with Internet|Pet Friendly|WiFi (Rooms)|Swimming Pool (Combined Filter)|Free WiFi (Public Areas)|Lift|Central Heating
